Method,ASSERT,B,BRANCH,CALL,CALLED,CALLEDp,CALLEDt,CAST,CAUGHT,CDENS,CLOC,CogC,COM_RAT,CONTROL,D,E,ev(G),EXEC,EXP,IF_NEST,IMP,iv(G),JLOC,LOC,LOOP,LOOP_NEST,N,n,NBD,NCLOC,NP,NTP,NULL,OVER,QCP_CRCT,QCP_MAINT,QCP_RLBTY,RETURN,RLOC,STAT,TCOM_RAT,THROWS,TODO,V,v(G)
"com.naman14.timber.models.Song.Song(long, long, long, String, String, String, int, ...)",0,0,0,0,9,9,0,0,0,0.00%,0,0,0.00%,0,2,259,1,8,32,0,n/a,1,0,10,0,0,30,20,0,10,8,0,0,n/a,12,100,41,1,33.33%,8,0.00%,0,0,129,1
"com.naman14.timber.nowplaying.BaseNowplayingFragment.changeDigit(TimelyView, int)",0,0,0,3,12,12,0,0,0,0.00%,0,0,0.00%,0,3,137,1,3,11,0,n/a,1,0,5,0,0,11,10,0,5,2,0,0,0,8,38,17,1,0.87%,3,0.00%,0,0,36,1
"com.naman14.timber.nowplaying.BaseNowplayingFragment.changeDigit(TimelyView, int, int)",0,0,0,4,5,5,0,0,1,20.00%,0,1,0.00%,1,5,348,1,4,15,0,n/a,2,0,9,0,0,17,15,1,9,3,0,0,0,12,59,27,1,1.57%,5,0.00%,0,0,66,2
com.naman14.timber.nowplaying.BaseNowplayingFragment.doAlbumArtStuff(Bitmap),0,0,0,0,2,2,0,0,0,0.00%,0,0,0.00%,0,0,0,1,0,0,0,n/a,1,0,2,0,0,2,2,0,2,1,0,0,3,2,8,5,1,0.35%,0,0.00%,0,0,2,1
com.naman14.timber.nowplaying.BaseNowplayingFragment.initGestures(View),0,0,0,7,6,6,0,0,0,33.33%,0,1,0.00%,1,11,552,1,2,16,1,n/a,2,0,10,0,0,14,12,3,10,1,0,0,0,18,50,25,1,1.75%,3,0.00%,0,0,50,2
com.naman14.timber.nowplaying.BaseNowplayingFragment.loadQueueSongs.doInBackground(String...),0,0,0,5,0,0,0,1,0,25.00%,0,2,0.00%,1,5,276,2,3,17,1,n/a,2,0,7,0,0,15,11,1,7,1,0,1,0,13,54,27,2,33.33%,4,0.00%,0,0,51,2
com.naman14.timber.nowplaying.BaseNowplayingFragment.loadQueueSongs.onPostExecute(String),0,0,0,7,4,4,0,0,0,40.00%,0,3,0.00%,2,8,775,1,3,27,2,n/a,3,0,9,0,0,23,17,1,9,1,0,2,0,19,82,41,1,42.86%,5,0.00%,0,0,94,3
com.naman14.timber.nowplaying.BaseNowplayingFragment.loadQueueSongs.onPreExecute(),0,0,0,0,1,1,0,0,0,0.00%,0,0,0.00%,0,0,0,1,0,0,0,n/a,1,0,3,0,0,2,2,0,3,0,0,0,0,2,8,5,1,14.29%,0,0.00%,0,0,2,1
com.naman14.timber.nowplaying.BaseNowplayingFragment.notifyPlayingDrawableChange(),0,0,0,1,2,2,0,0,0,0.00%,0,0,0.00%,0,2,31,1,2,7,0,n/a,1,0,4,0,0,6,6,0,4,0,0,0,0,6,22,11,1,0.70%,2,0.00%,0,0,15,1
com.naman14.timber.nowplaying.BaseNowplayingFragment.onActivityCreated(Bundle),0,0,0,2,8,8,0,0,0,0.00%,0,0,0.00%,0,2,49,1,2,7,0,n/a,1,0,5,0,0,7,7,0,5,1,0,0,0,6,25,12,1,0.87%,2,0.00%,0,0,19,1
com.naman14.timber.nowplaying.BaseNowplayingFragment.onCreate(Bundle),0,0,0,5,12,12,0,0,0,0.00%,0,0,0.00%,0,4,186,1,3,19,0,n/a,1,0,6,0,0,12,10,0,6,1,0,0,0,9,41,18,1,1.05%,3,0.00%,0,0,39,1
"com.naman14.timber.nowplaying.BaseNowplayingFragment.onCreateOptionsMenu(Menu, MenuInflater)",0,0,0,2,8,8,0,0,0,0.00%,0,0,0.00%,0,4,125,1,2,12,0,n/a,1,0,5,0,0,10,8,0,5,2,0,0,0,8,34,15,1,0.87%,2,0.00%,0,0,30,1
com.naman14.timber.nowplaying.BaseNowplayingFragment.onMetaChanged(),0,0,0,4,2,2,0,0,0,33.33%,0,2,0.00%,1,10,498,1,2,16,1,n/a,3,0,5,0,0,15,10,0,5,0,0,2,1,17,53,26,1,0.87%,3,0.00%,0,0,49,3
com.naman14.timber.nowplaying.BaseNowplayingFragment.onOptionsItemSelected(MenuItem),0,0,0,10,8,8,0,0,0,63.64%,0,1,0.00%,7,9,"1,035",1,4,37,0,n/a,1,0,15,0,0,26,19,1,15,1,0,0,0,28,98,51,1,2.62%,11,0.00%,0,0,110,4
com.naman14.timber.nowplaying.BaseNowplayingFragment.onPause(),0,0,0,1,3,3,0,0,0,0.00%,0,0,0.00%,0,2,31,1,2,6,0,n/a,1,0,5,0,0,6,6,0,5,0,0,0,0,6,22,11,1,0.87%,2,0.00%,0,0,15,1
com.naman14.timber.nowplaying.BaseNowplayingFragment.onPlaylistChanged(),0,0,0,0,1,1,0,0,0,0.00%,0,0,0.00%,0,0,0,1,0,0,0,n/a,1,0,2,0,0,2,2,0,2,0,0,0,0,2,8,5,1,0.35%,0,0.00%,0,0,2,1
com.naman14.timber.nowplaying.BaseNowplayingFragment.onResume(),0,0,0,3,8,8,0,0,0,33.33%,0,2,0.00%,2,5,451,1,4,22,1,n/a,3,0,9,0,0,22,15,0,9,0,0,2,0,17,79,39,1,1.57%,6,0.00%,0,0,85,3
"com.naman14.timber.nowplaying.BaseNowplayingFragment.onViewCreated(View, Bundle)",0,0,0,6,5,5,0,0,0,25.00%,0,2,0.00%,1,6,501,1,3,24,1,n/a,2,0,9,0,0,19,16,1,9,2,0,0,0,14,66,31,1,1.57%,4,0.00%,0,0,76,2
com.naman14.timber.nowplaying.BaseNowplayingFragment.restartLoader(),0,0,0,0,1,1,0,0,0,0.00%,0,0,0.00%,0,0,0,1,0,0,0,n/a,1,0,2,0,0,2,2,0,2,0,0,0,0,2,8,5,1,0.35%,0,0.00%,0,0,2,1
com.naman14.timber.nowplaying.BaseNowplayingFragment.setMusicStateListener(),0,0,0,2,6,6,0,1,0,0.00%,0,0,0.00%,0,0,0,1,1,7,0,n/a,1,0,3,0,0,5,5,0,3,0,0,0,0,3,18,9,1,0.52%,1,0.00%,0,0,11,1
com.naman14.timber.nowplaying.BaseNowplayingFragment.setQueueSongs(),0,0,0,6,1,1,0,0,0,33.33%,1,1,16.67%,1,4,179,1,2,14,1,n/a,2,0,6,0,0,13,11,0,5,0,0,1,0,11,47,24,1,1.05%,3,20.00%,0,0,44,2
com.naman14.timber.nowplaying.BaseNowplayingFragment.setSeekBarListener(),0,0,0,6,1,1,0,2,0,50.00%,0,8,0.00%,4,8,"1,529",1,4,26,2,n/a,5,0,33,0,0,42,19,4,33,0,0,2,n/a,26,146,69,1,5.77%,8,0.00%,0,0,178,5
com.naman14.timber.nowplaying.BaseNowplayingFragment.setSongDetails(),0,0,0,22,1,1,0,0,0,22.73%,0,5,0.00%,5,16,"4,914",1,17,66,1,n/a,6,0,42,0,0,63,28,5,42,0,0,5,n/a,50,224,105,1,7.34%,22,0.00%,0,0,302,6
com.naman14.timber.nowplaying.BaseNowplayingFragment.setSongDetails(View),0,0,0,79,6,6,0,24,0,12.50%,0,13,0.00%,8,45,"86,847",1,56,458,2,n/a,10,0,73,0,0,283,105,2,73,1,0,6,0,127,933,378,1,12.76%,64,0.00%,0,0,"1,900",10
com.naman14.timber.nowplaying.BaseNowplayingFragment.tv11(int),0,0,0,1,1,1,0,0,0,33.33%,0,1,0.00%,1,7,398,1,2,17,1,n/a,2,0,6,0,0,16,10,1,6,1,0,0,0,14,56,27,1,1.05%,3,0.00%,0,0,53,2
com.naman14.timber.nowplaying.BaseNowplayingFragment.tv12(int),0,0,0,1,2,2,0,0,0,33.33%,0,1,0.00%,1,7,398,1,2,17,1,n/a,2,0,6,0,0,16,10,1,6,1,0,0,0,14,56,27,1,1.05%,3,0.00%,0,0,53,2
com.naman14.timber.nowplaying.BaseNowplayingFragment.tv13(int),0,0,0,1,3,3,0,0,0,33.33%,0,1,0.00%,1,7,398,1,2,17,1,n/a,2,0,6,0,0,16,10,1,6,1,0,0,0,14,56,27,1,1.05%,3,0.00%,0,0,53,2
com.naman14.timber.nowplaying.BaseNowplayingFragment.tv14(int),0,0,0,1,3,3,0,0,0,33.33%,0,1,0.00%,1,7,398,1,2,17,1,n/a,2,0,6,0,0,16,10,1,6,1,0,0,0,14,56,27,1,1.05%,3,0.00%,0,0,53,2
com.naman14.timber.nowplaying.BaseNowplayingFragment.tv15(int),0,0,0,1,3,3,0,0,0,33.33%,0,1,0.00%,1,7,398,1,2,17,1,n/a,2,0,6,0,0,16,10,1,6,1,0,0,0,14,56,27,1,1.05%,3,0.00%,0,0,53,2
com.naman14.timber.nowplaying.BaseNowplayingFragment.updatePlayPauseButton(),0,0,0,7,1,1,0,0,0,42.86%,0,6,0.00%,3,12,946,1,4,24,2,n/a,4,0,13,0,0,22,12,2,13,0,0,0,0,27,83,45,1,2.27%,7,0.00%,0,0,78,4
com.naman14.timber.nowplaying.BaseNowplayingFragment.updatePlayPauseFloatingButton(),0,0,0,3,1,1,0,0,0,33.33%,0,2,0.00%,1,7,244,1,2,11,1,n/a,2,0,7,0,0,11,9,1,7,0,0,0,0,14,41,22,1,1.22%,3,0.00%,0,0,34,2
com.naman14.timber.nowplaying.BaseNowplayingFragment.updateRepeatState(),0,0,0,26,3,3,0,0,0,25.00%,0,6,0.00%,4,24,"7,744",1,12,96,2,n/a,6,0,25,0,0,64,32,3,25,0,0,2,4,50,220,99,1,4.37%,16,0.00%,0,0,320,6
com.naman14.timber.nowplaying.BaseNowplayingFragment.updateShuffleState(),0,0,0,20,3,3,0,0,0,27.27%,0,8,0.00%,3,22,"5,023",1,8,65,3,n/a,5,0,21,0,0,47,29,3,21,0,0,3,5,41,163,76,1,3.67%,11,0.00%,0,0,228,5
com.naman14.timber.nowplaying.BaseNowplayingFragment.updateSongDetails(),0,0,0,54,2,2,0,2,0,37.50%,1,26,25.00%,15,50,"55,341",1,25,221,3,n/a,18,0,70,0,0,175,78,4,69,0,0,14,0,122,600,269,1,12.24%,40,1.45%,0,0,"1,099",18
"com.naman14.timber.nowplaying.Timber1.onCreateView(LayoutInflater, ViewGroup, Bundle)",0,0,0,5,0,0,0,0,0,0.00%,0,0,0.00%,0,4,259,1,5,22,0,n/a,1,0,9,0,0,15,13,0,9,3,0,0,0,11,52,23,1,25.71%,5,0.00%,0,0,55,1
com.naman14.timber.nowplaying.Timber1.updateShuffleState(),0,0,0,18,3,3,0,0,0,10.00%,0,2,0.00%,1,14,"2,885",1,9,58,1,n/a,3,0,24,0,0,42,30,5,24,0,0,2,0,28,141,60,1,68.57%,10,0.00%,0,0,206,3
com.naman14.timber.nowplaying.Timber2.doAlbumArtStuff(Bitmap),0,0,0,2,2,2,0,0,0,0.00%,0,0,0.00%,0,2,31,1,2,5,0,n/a,1,0,5,0,0,6,6,0,5,1,0,0,0,6,22,11,1,5.10%,2,0.00%,0,0,15,1
"com.naman14.timber.nowplaying.Timber2.onCreateView(LayoutInflater, ViewGroup, Bundle)",0,0,0,5,0,0,0,1,0,0.00%,0,0,0.00%,0,5,323,1,6,26,0,n/a,1,0,10,0,0,17,14,0,10,3,0,0,0,13,59,26,1,10.20%,6,0.00%,0,0,64,1
com.naman14.timber.nowplaying.Timber2.setBlurredAlbumArt.doInBackground(Bitmap...),0,0,0,3,0,0,0,0,1,20.00%,0,1,0.00%,1,4,211,1,4,16,0,n/a,2,0,10,0,0,14,13,1,10,1,0,0,0,11,50,24,1,32.26%,5,0.00%,0,0,51,2
com.naman14.timber.nowplaying.Timber2.setBlurredAlbumArt.onPostExecute(Drawable),0,0,0,6,4,4,0,0,0,33.33%,0,4,0.00%,2,12,"1,265",1,4,27,2,n/a,3,0,16,0,0,27,15,2,16,1,0,2,0,24,95,46,1,51.61%,6,0.00%,0,0,105,3
com.naman14.timber.nowplaying.Timber2.setBlurredAlbumArt.onPreExecute(),0,0,0,0,1,1,0,0,0,0.00%,0,0,0.00%,0,0,0,1,0,0,0,n/a,1,0,3,0,0,2,2,0,3,0,0,0,0,2,8,5,1,9.68%,0,0.00%,0,0,2,1
com.naman14.timber.nowplaying.Timber2.updateRepeatState(),0,0,0,23,5,5,0,0,0,26.32%,0,9,0.00%,5,22,"7,762",1,14,96,2,n/a,7,0,29,0,0,69,32,3,29,0,0,2,0,53,240,110,1,29.59%,19,0.00%,0,0,345,7
com.naman14.timber.nowplaying.Timber2.updateShuffleState(),0,0,0,15,5,5,0,0,0,20.00%,0,5,0.00%,2,16,"3,046",1,8,52,2,n/a,4,0,20,0,0,39,28,3,20,0,0,2,0,32,135,62,1,20.41%,10,0.00%,0,0,187,4
"com.naman14.timber.nowplaying.Timber3.onCreateView(LayoutInflater, ViewGroup, Bundle)",0,0,0,5,0,0,0,0,0,0.00%,0,0,0.00%,0,4,259,1,5,22,0,n/a,1,0,9,0,0,15,13,0,9,3,0,0,0,11,52,23,1,81.82%,5,0.00%,0,0,55,1
com.naman14.timber.nowplaying.Timber4.doAlbumArtStuff(Bitmap),0,0,0,2,2,2,0,0,0,0.00%,0,0,0.00%,0,2,31,1,2,5,0,n/a,1,0,5,0,0,6,6,0,5,1,0,0,0,6,22,11,1,4.63%,2,0.00%,0,0,15,1
"com.naman14.timber.nowplaying.Timber4.onCreateView(LayoutInflater, ViewGroup, Bundle)",0,0,0,7,0,0,0,2,0,0.00%,0,0,0.00%,0,5,519,1,8,37,0,n/a,1,0,12,0,0,22,17,0,12,3,0,0,0,15,76,33,1,11.11%,8,0.00%,0,0,89,1
com.naman14.timber.nowplaying.Timber4.setBlurredAlbumArt.doInBackground(Bitmap...),0,0,0,3,0,0,0,0,1,20.00%,0,1,0.00%,1,4,211,1,4,16,0,n/a,2,0,10,0,0,14,13,1,10,1,0,0,0,11,50,24,1,32.26%,5,0.00%,0,0,51,2
com.naman14.timber.nowplaying.Timber4.setBlurredAlbumArt.onPostExecute(Drawable),0,0,0,6,4,4,0,0,0,33.33%,0,4,0.00%,2,12,"1,265",1,4,27,2,n/a,3,0,16,0,0,27,15,2,16,1,0,2,0,24,95,46,1,51.61%,6,0.00%,0,0,105,3
com.naman14.timber.nowplaying.Timber4.setBlurredAlbumArt.onPreExecute(),0,0,0,0,1,1,0,0,0,0.00%,0,0,0.00%,0,0,0,1,0,0,0,n/a,1,0,3,0,0,2,2,0,3,0,0,0,0,2,8,5,1,9.68%,0,0.00%,0,0,2,1
com.naman14.timber.nowplaying.Timber4.setupHorizontalQueue(),0,0,0,10,1,1,0,0,0,0.00%,0,0,0.00%,0,8,656,1,4,31,0,n/a,1,0,6,0,0,21,15,0,6,0,0,0,n/a,14,69,28,1,5.56%,4,0.00%,0,0,82,1
com.naman14.timber.nowplaying.Timber4.updateRepeatState(),0,0,0,23,5,5,0,0,0,26.32%,0,9,0.00%,5,22,"7,762",1,14,96,2,n/a,7,0,29,0,0,69,32,3,29,0,0,2,0,53,240,110,1,26.85%,19,0.00%,0,0,345,7
com.naman14.timber.nowplaying.Timber4.updateShuffleState(),0,0,0,15,5,5,0,0,0,20.00%,0,5,0.00%,2,16,"3,046",1,8,52,2,n/a,4,0,20,0,0,39,28,3,20,0,0,2,0,32,135,62,1,18.52%,10,0.00%,0,0,187,4
com.naman14.timber.nowplaying.Timber5.doAlbumArtStuff(Bitmap),0,0,0,2,2,2,0,0,0,0.00%,0,0,0.00%,0,2,31,1,2,5,0,n/a,1,0,5,0,0,6,6,0,5,1,0,0,0,6,22,11,1,4.50%,2,0.00%,0,0,15,1
"com.naman14.timber.nowplaying.Timber5.onCreateView(LayoutInflater, ViewGroup, Bundle)",0,0,0,7,0,0,0,2,0,0.00%,0,0,0.00%,0,5,519,1,8,37,0,n/a,1,0,12,0,0,22,17,0,12,3,0,0,0,15,76,33,1,10.81%,8,0.00%,0,0,89,1
com.naman14.timber.nowplaying.Timber5.setBlurredAlbumArt.doInBackground(Bitmap...),0,0,0,3,0,0,0,0,1,20.00%,0,1,0.00%,1,4,211,1,4,16,0,n/a,2,0,10,0,0,14,13,1,10,1,0,0,0,11,50,24,1,32.26%,5,0.00%,0,0,51,2
com.naman14.timber.nowplaying.Timber5.setBlurredAlbumArt.onPostExecute(Drawable),0,0,0,6,4,4,0,0,0,33.33%,0,4,0.00%,2,12,"1,265",1,4,27,2,n/a,3,0,16,0,0,27,15,2,16,1,0,2,0,24,95,46,1,51.61%,6,0.00%,0,0,105,3
com.naman14.timber.nowplaying.Timber5.setBlurredAlbumArt.onPreExecute(),0,0,0,0,1,1,0,0,0,0.00%,0,0,0.00%,0,0,0,1,0,0,0,n/a,1,0,3,0,0,2,2,0,3,0,0,0,0,2,8,5,1,9.68%,0,0.00%,0,0,2,1
com.naman14.timber.nowplaying.Timber5.setupSlidingQueue(),0,0,0,10,1,1,0,1,0,0.00%,0,0,0.00%,0,8,656,1,4,32,0,n/a,1,0,6,0,0,21,15,0,6,0,0,0,n/a,14,69,28,1,5.41%,4,0.00%,0,0,82,1
com.naman14.timber.nowplaying.Timber5.updateRepeatState(),0,0,0,23,5,5,0,0,0,26.32%,0,9,0.00%,5,22,"7,762",1,14,96,2,n/a,7,0,29,0,0,69,32,3,29,0,0,2,0,53,240,110,1,26.13%,19,0.00%,0,0,345,7
com.naman14.timber.nowplaying.Timber5.updateShuffleState(),0,0,0,15,5,5,0,0,0,20.00%,0,5,0.00%,2,16,"3,046",1,8,52,2,n/a,4,0,20,0,0,39,28,3,20,0,0,2,0,32,135,62,1,18.02%,10,0.00%,0,0,187,4
"com.naman14.timber.nowplaying.Timber6.onCreateView(LayoutInflater, ViewGroup, Bundle)",0,0,0,19,0,0,0,4,0,0.00%,0,0,0.00%,0,11,"2,557",1,11,88,0,n/a,1,0,19,0,0,47,29,2,19,3,0,0,0,24,154,61,1,22.35%,11,0.00%,0,0,228,1
com.naman14.timber.nowplaying.Timber6.onMetaChanged(),0,0,0,8,2,2,0,0,0,16.67%,0,1,0.00%,1,7,706,1,5,29,1,n/a,2,0,10,0,0,22,20,1,10,0,0,1,0,17,77,36,1,11.76%,6,0.00%,0,0,95,2
com.naman14.timber.nowplaying.Timber6.updateRepeatState(),0,0,0,23,5,5,0,0,0,26.32%,0,9,0.00%,5,22,"7,762",1,14,96,2,n/a,7,0,29,0,0,69,32,3,29,0,0,2,0,53,240,110,1,34.12%,19,0.00%,0,0,345,7
com.naman14.timber.nowplaying.Timber6.updateShuffleState(),0,0,0,15,5,5,0,0,0,20.00%,0,5,0.00%,2,16,"3,046",1,8,52,2,n/a,4,0,20,0,0,39,28,3,20,0,0,2,0,32,135,62,1,23.53%,10,0.00%,0,0,187,4
"com.naman14.timber.permissions.Nammu.askForPermission(Activity, String, PermissionCallback)",0,0,0,1,0,0,0,0,0,0.00%,0,0,0.00%,0,2,60,1,1,7,0,n/a,1,0,3,0,0,8,8,0,3,3,0,0,n/a,5,27,12,1,1.23%,1,0.00%,0,0,24,1
"com.naman14.timber.permissions.Nammu.askForPermission(Activity, String[], PermissionCallback)",0,0,0,8,3,3,0,0,0,25.00%,0,2,0.00%,2,13,"1,546",3,6,28,1,n/a,2,0,12,0,0,28,19,1,12,3,0,1,n/a,27,99,47,3,4.92%,8,0.00%,0,0,118,3
com.naman14.timber.permissions.Nammu.checkPermission(String),0,0,0,2,4,4,0,0,0,33.33%,3,1,33.33%,1,5,328,2,2,12,1,n/a,1,3,9,0,0,16,14,1,6,1,0,1,n/a,12,56,27,1,3.69%,3,50.00%,0,0,60,2
com.naman14.timber.permissions.Nammu.getGrantedPermissions(),0,0,0,29,2,2,0,0,0,19.44%,13,8,23.73%,7,10,"6,566",2,29,192,1,n/a,7,5,59,1,1,112,45,2,45,0,0,1,n/a,62,390,176,1,24.18%,36,31.11%,0,0,615,8
com.naman14.timber.permissions.Nammu.getIgnoredPermissions(),0,0,0,4,3,3,0,0,0,0.00%,0,0,0.00%,0,4,139,1,3,10,0,n/a,1,0,5,0,0,11,9,0,5,0,0,0,n/a,9,38,17,1,2.05%,3,0.00%,0,0,34,1
com.naman14.timber.permissions.Nammu.getPreviousPermissions(),0,0,0,4,1,1,0,0,0,0.00%,4,0,44.44%,0,4,139,1,3,10,0,n/a,1,4,9,0,0,11,9,0,5,0,0,0,n/a,9,38,17,1,3.69%,3,80.00%,0,0,34,1
"com.naman14.timber.permissions.Nammu.hasPermission(Activity, String)",0,0,0,1,0,0,0,0,0,0.00%,3,0,50.00%,0,3,85,1,1,7,0,n/a,1,3,6,0,0,9,9,0,3,2,0,0,n/a,6,30,13,1,2.46%,1,100.00%,0,0,28,1
"com.naman14.timber.permissions.Nammu.hasPermission(Activity, String[])",0,0,0,1,1,1,0,0,0,50.00%,3,3,27.27%,2,4,228,3,2,10,1,n/a,2,3,11,1,1,15,14,2,8,2,0,0,n/a,14,57,32,2,4.51%,4,37.50%,0,0,57,3
com.naman14.timber.permissions.Nammu.ignorePermission(String),0,0,0,8,0,0,0,0,0,16.67%,4,1,35.71%,1,10,910,1,5,24,1,n/a,2,5,14,0,0,21,18,1,9,1,0,0,n/a,20,74,35,1,5.74%,6,55.56%,0,0,87,2
com.naman14.timber.permissions.Nammu.init(Context),0,0,0,1,1,1,0,0,0,0.00%,0,0,0.00%,0,2,76,1,2,12,0,n/a,1,0,4,0,0,10,9,0,4,1,0,0,n/a,6,34,15,1,1.64%,2,0.00%,0,0,31,1
com.naman14.timber.permissions.Nammu.isIgnoredPermission(String),0,0,0,2,1,1,0,0,0,33.33%,3,1,33.33%,1,5,239,2,2,9,1,n/a,1,3,9,0,0,13,11,1,6,1,0,1,n/a,12,47,24,2,3.69%,3,50.00%,0,0,44,2
"com.naman14.timber.permissions.Nammu.onRequestPermissionsResult(int, String[], int[])",0,0,0,11,1,1,0,0,0,25.00%,1,4,7.14%,2,17,"2,319",1,6,32,2,n/a,3,0,14,0,0,30,21,2,13,3,0,0,n/a,31,106,51,1,5.74%,8,7.69%,0,0,131,3
com.naman14.timber.permissions.Nammu.permissionCompare(PermissionListener),0,0,0,18,0,0,0,0,0,50.00%,7,28,17.02%,12,53,"22,629",2,12,86,2,n/a,15,5,47,3,1,86,30,3,39,1,0,6,n/a,103,311,155,1,19.26%,24,20.51%,0,0,421,16
com.naman14.timber.permissions.Nammu.refreshMonitoredList(),0,0,0,6,2,2,0,0,0,20.00%,3,1,27.27%,1,6,375,1,4,17,0,n/a,2,3,11,1,1,16,15,1,8,0,0,0,n/a,15,58,29,1,4.51%,5,37.50%,0,0,62,2
"com.naman14.timber.permissions.Nammu.shouldShowRequestPermissionRationale(Activity, String)",0,0,0,1,1,1,0,0,0,0.00%,4,0,57.14%,0,2,49,1,1,4,0,n/a,1,0,7,0,0,7,7,0,3,2,0,0,n/a,5,24,11,1,2.87%,1,133.33%,0,0,19,1
com.naman14.timber.permissions.Nammu.verifyPermissions(int[]),0,0,0,0,1,1,0,0,0,50.00%,4,3,33.33%,2,4,222,3,2,7,1,n/a,1,4,12,1,1,15,13,2,8,1,0,0,n/a,14,57,32,2,4.92%,4,50.00%,0,0,55,3
com.naman14.timber.permissions.PermissionCallback.permissionGranted(),n/a,n/a,n/a,n/a,2,2,0,n/a,n/a,n/a,0,n/a,0.00%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,0,0,n/a,n/a,n/a,n/a,n/a,n/a,25.00%,n/a,0.00%,0,0,n/a,n/a
com.naman14.timber.permissions.PermissionCallback.permissionRefused(),n/a,n/a,n/a,n/a,1,1,0,n/a,n/a,n/a,0,n/a,0.00%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,0,0,n/a,n/a,n/a,n/a,n/a,n/a,25.00%,n/a,0.00%,0,0,n/a,n/a
com.naman14.timber.permissions.PermissionListener.permissionsChanged(String),n/a,n/a,n/a,n/a,2,2,0,n/a,n/a,n/a,4,n/a,83.33%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,1,0,n/a,n/a,n/a,n/a,n/a,n/a,30.00%,n/a,500.00%,0,0,n/a,n/a
com.naman14.timber.permissions.PermissionListener.permissionsGranted(String),n/a,n/a,n/a,n/a,1,1,0,n/a,n/a,n/a,4,n/a,83.33%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,1,0,n/a,n/a,n/a,n/a,n/a,n/a,30.00%,n/a,500.00%,0,0,n/a,n/a
com.naman14.timber.permissions.PermissionListener.permissionsRemoved(String),n/a,n/a,n/a,n/a,1,1,0,n/a,n/a,n/a,4,n/a,83.33%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,1,0,n/a,n/a,n/a,n/a,n/a,n/a,30.00%,n/a,500.00%,0,0,n/a,n/a
"com.naman14.timber.permissions.PermissionRequest.PermissionRequest(ArrayList<String>, PermissionCallback)",0,0,0,2,1,1,0,0,0,20.00%,0,1,0.00%,1,3,256,1,4,21,1,n/a,1,0,8,0,0,18,14,1,8,2,0,1,n/a,12,64,31,1,20.51%,5,0.00%,0,0,68,2
com.naman14.timber.permissions.PermissionRequest.PermissionRequest(int),0,0,0,0,1,1,0,0,0,0.00%,0,0,0.00%,0,1,17,1,1,4,0,n/a,1,0,3,0,0,5,5,0,3,1,0,0,n/a,4,18,9,1,7.69%,1,0.00%,0,0,11,1
com.naman14.timber.permissions.PermissionRequest.equals(Object),0,0,0,0,49,1,0,2,0,40.00%,0,2,0.00%,2,5,381,3,3,14,1,n/a,1,0,9,0,0,19,12,1,9,1,0,1,0,16,69,35,3,23.08%,5,0.00%,0,0,68,3
com.naman14.timber.permissions.PermissionRequest.getPermissionCallback(),0,0,0,0,2,2,0,0,0,0.00%,0,0,0.00%,0,1,4,1,1,1,0,n/a,1,0,3,0,0,3,3,0,3,0,0,0,0,4,12,7,1,7.69%,1,0.00%,0,0,4,1
com.naman14.timber.permissions.PermissionRequest.getPermissions(),0,0,0,0,0,0,0,0,0,0.00%,0,0,0.00%,0,1,4,1,1,1,0,n/a,1,0,3,0,0,3,3,0,3,0,0,0,0,4,12,7,1,7.69%,1,0.00%,0,0,4,1
com.naman14.timber.permissions.PermissionRequest.getRequestCode(),0,0,0,0,1,1,0,0,0,0.00%,0,0,0.00%,0,1,12,1,1,1,0,n/a,1,0,3,0,0,4,4,0,3,0,0,0,0,4,15,8,1,7.69%,1,0.00%,0,0,8,1
com.naman14.timber.permissions.PermissionRequest.hashCode(),0,0,0,0,51,2,0,0,0,0.00%,0,0,0.00%,0,1,12,1,1,1,0,n/a,1,0,4,0,0,4,4,0,4,0,0,0,0,4,15,8,1,10.26%,1,0.00%,0,0,8,1
com.naman14.timber.provider.MusicDB.MusicDB(Context),0,0,0,1,1,1,0,0,0,0.00%,0,0,0.00%,0,2,76,1,2,9,0,n/a,1,0,4,0,0,10,9,0,4,1,0,0,n/a,6,34,15,1,10.81%,2,0.00%,0,0,31,1
com.naman14.timber.provider.MusicDB.getInstance(Context),0,0,0,2,4,4,0,0,0,33.33%,0,1,0.00%,1,7,403,1,2,10,1,n/a,2,0,6,0,0,15,12,1,6,1,0,1,n/a,14,53,26,1,16.22%,3,0.00%,0,0,53,2
com.naman14.timber.provider.MusicDB.onCreate(SQLiteDatabase),0,0,0,8,0,0,0,0,0,0.00%,0,0,0.00%,0,20,"1,290",1,4,28,0,n/a,1,0,7,0,0,18,12,0,7,1,0,0,0,26,60,25,1,18.92%,4,0.00%,0,0,64,1
